date	referrer	tiles
2017-06-23	Other Wikimedia projects	56908
2017-06-23	Wikidata Query Service	13688
2017-06-24	Pokemon Go fansite	14948714
2017-06-24	Other	3837800
2017-06-24	Wikipedia	1309343
2017-06-24	Wikimedia Labs	905309
2017-06-24	Wikivoyage	170084
2017-06-24	Wikidata Query Service	47604
2017-06-24	Other Wikimedia projects	39963
2017-06-25	Pokemon Go fansite	16182060
2017-06-25	Other	7932308
2017-06-25	Wikipedia	1456418
2017-06-25	Wikimedia Labs	957962
2017-06-25	Wikivoyage	229795
2017-06-25	Other Wikimedia projects	29486
2017-06-25	Wikidata Query Service	17688
2017-06-26	Pokemon Go fansite	13226468
2017-06-26	Other	5667103
2017-06-26	Wikipedia	1788397
2017-06-26	Wikimedia Labs	1191753
2017-06-26	Wikivoyage	233041
2017-06-26	Other Wikimedia projects	40149
2017-06-26	Wikidata Query Service	16563
2017-06-27	Pokemon Go fansite	13919424
2017-06-27	Other	13725825
2017-06-27	Wikipedia	1739113
2017-06-27	Wikimedia Labs	1172770
2017-06-27	Wikivoyage	225350
2017-06-27	Other Wikimedia projects	36792
2017-06-27	Wikidata Query Service	8246
2017-06-28	Pokemon Go fansite	22639191
2017-06-28	Other	19699316
2017-06-28	Wikipedia	1715736
2017-06-28	Wikimedia Labs	1108208
2017-06-28	Wikivoyage	221075
2017-06-28	Other Wikimedia projects	50027
2017-06-28	Wikidata Query Service	15895
2017-06-29	Pokemon Go fansite	29888433
2017-06-29	Other	16058935
2017-06-29	Wikipedia	1690656
2017-06-29	Wikimedia Labs	949551
2017-06-29	Wikivoyage	217969
2017-06-29	Other Wikimedia projects	41558
2017-06-29	Wikidata Query Service	17127
2017-06-30	Pokemon Go fansite	29910286
2017-06-30	Other	7936224
2017-06-30	Wikipedia	1669481
2017-06-30	Wikimedia Labs	1045869
2017-06-30	Wikivoyage	207896
2017-06-30	Other Wikimedia projects	68395
2017-06-30	Wikidata Query Service	18533
2017-07-01	Pokemon Go fansite	36833589
2017-07-01	Other	7326506
2017-07-01	Wikipedia	1421712
2017-07-01	Wikimedia Labs	906094
2017-07-01	Wikivoyage	196588
2017-07-01	Other Wikimedia projects	49437
2017-07-01	Wikidata Query Service	13329
2017-07-02	Pokemon Go fansite	36925661
2017-07-02	Other	7263716
2017-07-02	Wikipedia	1537368
2017-07-02	Wikimedia Labs	968977
2017-07-02	Wikivoyage	245403
2017-07-02	Other Wikimedia projects	35047
2017-07-02	Wikidata Query Service	12918
2017-07-03	Pokemon Go fansite	22596099
2017-07-03	Other	5477365
2017-07-03	Wikipedia	1911247
2017-07-03	Wikimedia Labs	1169538
2017-07-03	Wikivoyage	240934
2017-07-03	Wikidata Query Service	57103
2017-07-03	Other Wikimedia projects	43736
2017-07-04	Pokemon Go fansite	29061084
2017-07-04	Other	6054099
2017-07-04	Wikipedia	1852028
2017-07-04	Wikimedia Labs	1116190
2017-07-04	Wikivoyage	226905
2017-07-04	Other Wikimedia projects	44843
2017-07-04	Wikidata Query Service	16011
2017-07-05	Pokemon Go fansite	30197659
2017-07-05	Other	9912505
2017-07-05	Wikipedia	1812753
2017-07-05	Wikimedia Labs	1208205
2017-07-05	Wikivoyage	227209
2017-07-05	Other Wikimedia projects	58410
2017-07-05	Wikidata Query Service	16156
2017-07-06	Pokemon Go fansite	30165407
2017-07-06	Other	12038531
2017-07-06	Wikipedia	1687218
2017-07-06	Wikimedia Labs	1186621
2017-07-06	Wikivoyage	229924
2017-07-06	Other Wikimedia projects	66734
2017-07-06	Wikidata Query Service	19818
2017-07-07	Pokemon Go fansite	32545177
2017-07-07	Other	21023162
2017-07-07	Wikipedia	1569156
2017-07-07	Wikimedia Labs	1076345
2017-07-07	Wikivoyage	223011
2017-07-07	Other Wikimedia projects	57220
2017-07-07	Wikidata Query Service	16708
2017-07-08	Pokemon Go fansite	39446446
2017-07-08	Other	8536015
2017-07-08	Wikipedia	1357138
2017-07-08	Wikimedia Labs	894060
2017-07-08	Wikivoyage	192042
2017-07-08	Other Wikimedia projects	58362
2017-07-08	Wikidata Query Service	12350
2017-07-09	Pokemon Go fansite	39642076
2017-07-09	Other	12132031
2017-07-09	Wikipedia	1544637
2017-07-09	Wikimedia Labs	1020021
2017-07-09	Wikivoyage	238649
2017-07-09	Other Wikimedia projects	47028
2017-07-09	Wikidata Query Service	8010
2017-07-10	Pokemon Go fansite	31666696
2017-07-10	Other	17606784
2017-07-10	Wikipedia	1939989
2017-07-10	Wikimedia Labs	1292569
2017-07-10	Wikivoyage	259670
2017-07-10	Other Wikimedia projects	56282
2017-07-10	Wikidata Query Service	10656
2017-07-11	Pokemon Go fansite	31088973
2017-07-11	Other	12964344
2017-07-11	Wikipedia	1867892
2017-07-11	Wikimedia Labs	1205806
2017-07-11	Wikivoyage	277012
2017-07-11	Other Wikimedia projects	61832
2017-07-11	Wikidata Query Service	41448
2017-07-12	Pokemon Go fansite	31483333
2017-07-12	Other	11872954
2017-07-12	Wikipedia	1858089
2017-07-12	Wikimedia Labs	1164769
2017-07-12	Wikivoyage	251180
2017-07-12	Other Wikimedia projects	55821
2017-07-12	Wikidata Query Service	19831
2017-07-13	Pokemon Go fansite	33666830
2017-07-13	Other	5361482
2017-07-13	Wikipedia	1754629
2017-07-13	Wikimedia Labs	1128176
2017-07-13	Wikivoyage	257798
2017-07-13	Other Wikimedia projects	64535
2017-07-13	Wikidata Query Service	12304
2017-07-14	Pokemon Go fansite	32564376
2017-07-14	Other	7135734
2017-07-14	Wikipedia	1760379
2017-07-14	Wikimedia Labs	1031786
2017-07-14	Wikivoyage	232018
2017-07-14	Other Wikimedia projects	59368
2017-07-14	Wikidata Query Service	11461
2017-07-15	Pokemon Go fansite	33942028
2017-07-15	Other	9801845
2017-07-15	Wikipedia	1338542
2017-07-15	Wikimedia Labs	906194
2017-07-15	Wikivoyage	214507
2017-07-15	Other Wikimedia projects	57147
2017-07-15	Wikidata Query Service	10396
2017-07-16	Pokemon Go fansite	40389117
2017-07-16	Other	4893799
2017-07-16	Wikipedia	1467744
2017-07-16	Wikimedia Labs	973834
2017-07-16	Wikivoyage	252654
2017-07-16	Other Wikimedia projects	51795
2017-07-16	Wikidata Query Service	10888
2017-07-17	Pokemon Go fansite	20895912
2017-07-17	Other	7699948
2017-07-17	Wikipedia	1937620
2017-07-17	Wikimedia Labs	1286849
2017-07-17	Wikivoyage	259043
