date	region	sessions	mobile	ctr	bounce_rate	first_action	last_action
2017-07-23	United States	2618	1284	0.7338	0.2662	search	search
2017-07-24	Everyone else	4757	2095	0.4297	0.5703	search	search
2017-07-24	United States	3065	1088	0.7272	0.2728	search	search
2017-07-25	Everyone else	4712	2059	0.4329	0.5671	search	search
2017-07-25	United States	2946	1030	0.7366	0.2634	search	search
2017-07-26	Everyone else	4644	2077	0.4363	0.5637	search	search
2017-07-26	United States	2829	989	0.7416	0.2584	search	search
2017-07-27	Everyone else	4562	2113	0.4345	0.5655	search	search
2017-07-27	United States	2880	1003	0.7368	0.2632	search	search
2017-07-28	Everyone else	4622	2120	0.4039	0.5961	search	search
2017-07-28	United States	2907	946	0.6873	0.3127	search	search
2017-07-29	Everyone else	4119	2132	0.3982	0.6018	search	search
2017-07-29	United States	2400	1060	0.6758	0.3242	search	search
2017-07-30	Everyone else	4205	2183	0.4252	0.5748	search	search
2017-07-30	United States	2408	1107	0.7218	0.2782	search	search
2017-07-31	Everyone else	4566	2146	0.4433	0.5567	search	search
2017-07-31	United States	3011	1054	0.7512	0.2488	search	search
