date	referrer	pageviews	proportion
2016-06-18	Direct (not referred by anything)	22387077	96.398
2016-06-19	Referred by something other than search engine	145076	0.631
2016-06-19	Referred by a search engine	137152	0.596
2016-06-19	Referred internally (itself or a sister wiki)	616968	2.683
2016-06-19	Direct (not referred by anything)	22095383	96.09
2016-06-20	Referred by something other than search engine	192034	0.785
2016-06-20	Referred by a search engine	180837	0.739
2016-06-20	Referred internally (itself or a sister wiki)	718617	2.938
2016-06-20	Direct (not referred by anything)	23371499	95.538
2016-06-21	Referred by something other than search engine	223663	0.883
2016-06-21	Referred by a search engine	177000	0.699
2016-06-21	Referred internally (itself or a sister wiki)	733815	2.896
2016-06-21	Direct (not referred by anything)	24202643	95.522
2016-06-22	Referred by something other than search engine	249690	1.003
2016-06-22	Referred by a search engine	169806	0.682
2016-06-22	Referred internally (itself or a sister wiki)	702540	2.823
2016-06-22	Direct (not referred by anything)	23761723	95.491
2016-06-23	Referred by something other than search engine	272527	1.102
2016-06-23	Referred by a search engine	156472	0.633
2016-06-23	Referred internally (itself or a sister wiki)	712098	2.879
2016-06-23	Direct (not referred by anything)	23589826	95.386
2016-06-24	Referred by something other than search engine	224156	0.918
2016-06-24	Referred by a search engine	145750	0.597
2016-06-24	Referred internally (itself or a sister wiki)	671325	2.751
2016-06-24	Direct (not referred by anything)	23364597	95.734
2016-06-25	Referred by something other than search engine	193426	0.839
2016-06-25	Referred by a search engine	114797	0.498
2016-06-25	Referred internally (itself or a sister wiki)	611497	2.651
2016-06-25	Direct (not referred by anything)	22146062	96.013
2016-06-26	Referred by something other than search engine	195947	0.863
2016-06-26	Referred by a search engine	123857	0.546
2016-06-26	Referred internally (itself or a sister wiki)	638349	2.812
2016-06-26	Direct (not referred by anything)	21742216	95.779
2016-06-27	Referred by something other than search engine	226592	0.916
2016-06-27	Referred by a search engine	168853	0.682
2016-06-27	Referred internally (itself or a sister wiki)	739557	2.989
2016-06-27	Direct (not referred by anything)	23609882	95.413
2016-06-28	Referred by something other than search engine	223708	0.876
2016-06-28	Referred by a search engine	170493	0.668
2016-06-28	Referred internally (itself or a sister wiki)	736171	2.884
2016-06-28	Direct (not referred by anything)	24395678	95.572
2016-06-29	Referred by something other than search engine	228688	0.903
2016-06-29	Referred by a search engine	180561	0.713
2016-06-29	Referred internally (itself or a sister wiki)	678794	2.679
2016-06-29	Direct (not referred by anything)	24248995	95.706
2016-06-30	Referred by something other than search engine	222312	0.895
2016-06-30	Referred by a search engine	187620	0.755
2016-06-30	Referred internally (itself or a sister wiki)	683851	2.752
2016-06-30	Direct (not referred by anything)	23752218	95.598
2016-07-01	Referred by something other than search engine	204325	0.791
2016-07-01	Referred by a search engine	180392	0.698
2016-07-01	Referred internally (itself or a sister wiki)	657777	2.547
2016-07-01	Direct (not referred by anything)	24785038	95.964
2016-07-02	Referred by something other than search engine	182823	0.774
2016-07-02	Referred by a search engine	146546	0.62
2016-07-02	Referred internally (itself or a sister wiki)	577886	2.445
2016-07-02	Direct (not referred by anything)	22727395	96.161
2016-07-03	Referred by something other than search engine	179085	0.741
2016-07-03	Referred by a search engine	146800	0.608
2016-07-03	Referred internally (itself or a sister wiki)	622248	2.576
2016-07-03	Direct (not referred by anything)	23207010	96.075
